subject,retailer,event,season,discount_pc,discount_money,up_to,sale,free_delivery,name,emoji
Free delivery on Flowers & Plants,interflora,,,,,,,free delivery,,
Free Thorntons chocolate egg and free delivery on Easter bouquets!,interflora,Easter,,,,,,free delivery,,
Check your diary for important dates in April,interflora,,,,,,,,,
Two new free services for loyal Interflora customers,interflora,,,,,,,,,
Running out of time - order now for Mother's Day,interflora,Mother's Day,,,,,,,,
Order now for guaranteed delivery on Mother's Day,interflora,Mother's Day,,,,,,,,
£5 off Mother's Day flowers - one day only,interflora,Mother's Day,,,£5,,,,,
Open now for 50% extra free roses,interflora,,,50%,,,,,,
Exclusive video of our Mother's Day collection,interflora,Mother's Day,,,,,,,,
12% off all ranges for Mother's Day,interflora,Mother's Day,,12%,,,,,,
Check your diary for important dates in March,interflora,,,,,,,,,
Introducing our Mother's Day Collection,interflora,Mother's Day,,,,,,,,
An Exclusive £25 discount and up to 70% off Luxury Travel from Secret Escapes,interflora,,,70%,£25,up to,,,,
Order before midnight for next day delivery on Valentine's Day,interflora,Valentine's,,,,,,,,
20 Red Roses now £29.99 - delivery included,interflora,,,,£2999,,,,,
"Dear [CUSTOMER_NAME], hurry your 10% discount ends at midnight",interflora,,,10%,,,,,[CUSTOMER_NAME],
10% off all ranges for one week only,interflora,,,10%,,,,,,
An exclusive 20% discount from our friends at Lands' End,interflora,,,20%,,,,,,
Limited offer this weekend only,interflora,,,,,,,,,
10% off - Check your diary for February,interflora,,,10%,,,,,,
"Win the £1,000 Ultimate Valentine's Day Gift",interflora,Valentine's,,,"£1,000",,,,,
"Our new Valentine's Day range, prices from £19.99",interflora,Valentine's,,,£1999,,,,,
Great deals on our beautiful bouquets,interflora,,,,,,,,,
3 months free membership from our friends at the National Trust,interflora,,,,,,,,,
Introducing our Spring Range,interflora,,Spring,,,,,,,
A special gift for a special occasion - 10% off at Interflora,interflora,,,10%,,,,,,
Send your thanks with Interflora,interflora,,,,,,,,,
10% off - Check your diary for important dates in January,interflora,,,10%,,,,,,
Time is running out for guaranteed Christmas delivery,interflora,Christmas,,,,,,,,
Choose a perfect gift for the festive season with 10% off from Interflora,interflora,,,10%,,,,,,
Beat the last minute rush with Interflora,interflora,,,,,,,,,
Meet the winner of our Designed to Order Competition,interflora,,,,,,,,,
Sprinkle some magic with our winter collection,interflora,,Winter,,,,,,,
"Win £2,000 worth of flowers",interflora,,,,"£2,000",,,,,
"Introducing our Christmas collection, full of fresh gifting ideas",interflora,Christmas,,,,,,,,
10% off ends today,interflora,,,10%,,,,,,
Check your diary for 10% off this November,interflora,,,10%,,,,,,
Free delivery and other great offers,interflora,,,,,,,free delivery,,
Top 5 Autumn Favourites - reviewed by you,interflora,,Autumn,,,,,,,
Be inspired at Interflora Flower School,interflora,,,,,,,,,
We've got birthdays covered,interflora,Birthday,,,,,,,,
"Check your diary, last chance to get 15% off",interflora,,,15%,,,,,,
15% OFF ALL RANGES,interflora,,,15%,,,,,,
"Dear [CUSTOMER_NAME], Happy Birthday from all at Interflora",interflora,Birthday,,,,,,,[CUSTOMER_NAME],
Great value flowers and plants from £19.99,interflora,,,,£1999,,,,,
Make someone smile with Interflora flowers,interflora,,,,,,,,,
"Just in, new Interflora range! Treat them with something new",interflora,,,,,,,,,
"10% off this week only, check your diary for September",interflora,,,10%,,,,,,
Flowers and Plants from £19.99 and 50% extra free!,interflora,,,50%,£1999,,,,,
"Issue 11. Interflora's story continues,  plus a brand new collection of wedding flowers",interflora,,,,,,,,,
12% off everything - one week only!,interflora,,,12%,,,,,,
Win an iPad 2,interflora,,,,,,,,,
Our British Grown Collection,interflora,,,,,,,,,
Our Top 5 Favourites,interflora,,,,,,,,,
Check your diary for August,interflora,,,,,,,,,
"Issue 10. Interflora in the 50s and 60s, fashion made from flowers and stress busting plants...",interflora,,,,,,,,,
12% off until Friday,interflora,,,12%,,,,,,
Discover our stunning Luxury Collection and WIN £100 worth of flowers every week in July,interflora,,,,£100,,,,,
Introducing our stunning new birthstone collection,interflora,,,,,,,,,
"10% off this week only, check your diary for July",interflora,,,10%,,,,,,
"Issue 9. The history of Interflora, new David Austin rose plants, beautiful corsages and a competition...",interflora,,,,,,,,,
Beautiful indoor and outdoor plants,interflora,,,,,,,,,
Order your Father's Day gifts before 2pm today,interflora,Father's Day,,,,,,,,
"On his very own day, his very own gift range...",interflora,,,,,,,,,
15% OFF* ends today!,interflora,,,15%,,,,,,
This week only - 15% OFF* for Father's Day,interflora,Father's Day,,15%,,,,,,
Check your diary for June,interflora,,,,,,,,,
Live coverage from RHS Chelsea Flower Show tonight at 8pm,interflora,,,,,,,,,
Beautiful flowers & plants from £19.99,interflora,,,,£1999,,,,,
"Issue 8. Special edition, RHS Chelsea Flower Show news, videos, diaries and more...",interflora,,,,,,,,,
NEW British Grown collection...,interflora,,,,,,,,,
"NEW Duchess Hand-tied, inspired by the Duchess of Cambridge",interflora,,,,,,,,,
WIN a limited edition 'Spirit of Chelsea' arrangement worth £90,interflora,,,,£90,,,,,
Summer is here and it's International Mother's Day on Sunday,interflora,Mother's Day,Summer,,,,,,,
Check your diary for May and 10% OFF*,interflora,,,10%,,,,,,
Easter gifts and WIN one of three pairs of RHS Chelsea Flower Show tickets,interflora,Easter,,,,,,,,
Free gift with purchase,interflora,,,,,,,,,
"Issue 7. Chelsea exhibit preview video, Royal Wedding flowers and Bee aware!",interflora,,,,,,,,,
Personalised gifts from £19.99,interflora,,,,£1999,,,,,
Check your diary for April,interflora,,,,,,,,,
Order before 5pm for guaranteed Mother's Day delivery,interflora,Mother's Day,,,,,,,,
Running out of time? We are still taking orders for Mother's Day...,interflora,Mother's Day,,,,,,,,
Last chance to order for guaranteed Mother's Day delivery,interflora,Mother's Day,,,,,,,,
Seen the advert? Buy it here...,interflora,,,,,,,,,
"For today only, 10% OFF*",interflora,,,10%,,,,,,
The perfect gift for Mother's Day - £10 off Rose & Tulip Mother's Day Hand-tied,interflora,Mother's Day,,,£10,,,,,
Hurry - your 15% Mother's Day discount ends tonight!,interflora,Mother's Day,,15%,,,,,,
Don't miss our new TV advert...,interflora,,,,,,,,,
Mother's Day is too special to leave to anyone else,interflora,Mother's Day,,,,,,,,
This week only - 15% off* for Mother's Day,interflora,Mother's Day,,15%,,,,,,
"Issue 6: Interflora have it covered, new personalised bouquets and The Independent's top 50 florists",interflora,,,,,,,,,
Our best selling Mother's Day gifts...,interflora,Mother's Day,,,,,,,,
Our beautiful new Mother's Day collection,interflora,Mother's Day,,,,,,,,
Exclusive Mother's Day collection video,interflora,Mother's Day,,,,,,,,
Check your diary for March,interflora,,,,,,,,,
Beautiful bouquets from just £19.99,interflora,,,,£1999,,,,,
"Issue 5. NEW Luxury Collection, RHS Chelsea Flower Show and competition winners",interflora,,,,,,,,,
Your 15% discount ends today,interflora,,,15%,,,,,,
Our Valentine's survey results - what women really want this year,interflora,Valentine's,,,,,,,,
You can spend more this Valentine's Day with 15% off*,interflora,Valentine's,,15%,,,,,,
Win a £500 bouquet of Red Roses for Valentine's Day,interflora,Valentine's,,,£500,,,,,
Check your diary for February,interflora,,,,,,,,,
Make them the envy of the whole office this Valentine's Day,interflora,Valentine's,,,,,,,,
WIN one of five floral masterpieces worth £75 each. Simply click to enter,interflora,,,,£75,,,,,
Free chocolates worth £6.99 when you order your Valentine's gift early,interflora,Valentine's,,,£699,,,,,
Interflora newsletter: Issue 4. NEW 2011 collections ,interflora,,,,,,,,,
A special gift for a special occasion - 10% off* at Interflora,interflora,,,10%,,,,,,
20% OFF ends tomorrow,interflora,,,20%,,,,,,
"VAT free flowers, this week only. Save 20%*",interflora,,,20%*,,,,,,
Check your diary for January. Plus save 20%*,interflora,,,20%*,,,,,,
Boxing Day SALE – save 20%,interflora,Boxing Day,,20%,,,sale,,,
We are still taking orders. Order before 11am on Christmas Eve.,interflora,Christmas,,,,,,,,
Last chance to order your Christmas gifts,interflora,Christmas,,,,,,,,
It's not too late to deliver your Christmas wishes to their doorstep,interflora,Christmas,,,,,,,,
This is your last chance to save 15%,interflora,,,15%,,,,,,
Introducing the FREE Interflora shopping App,interflora,,,,,,,,,
"Whatever the weather, our local florists can still deliver",interflora,,,,,,,,,
Interflora newsletter Issue 3. Our best moments of 2010,interflora,,,,,,,,,
Why go out in the cold when you can shop online? And save 15%,interflora,,,15%,,,,,,
The magic of Interflora delivery at Christmas,interflora,Christmas,,,,,,,,
Click here to open this email and reveal your hidden discount code,interflora,,,,,,,,,
Don't forget the other special days this Christmas,interflora,Christmas,,,,,,,,
Your Christmas mailing is on its way,interflora,Christmas,,,,,,,,
"WIN a £2,000 Christmas home makeover! Plus Free Delivery",interflora,Christmas,,,"£2,000",,,free delivery,,
Launching our NEW Christmas collection,interflora,Christmas,,,,,,,,
"Interflora newsletter Issue 2. Exclusive Christmas Preview, competitions, expert florist tips and mo",interflora,Christmas,,,,,,,,
And the winner is...,interflora,,,,,,,,,
Check your diary for the month ahead,interflora,,,,,,,,,
Beautiful gifts from £19.99 including free delivery,interflora,,,,£1999,,,free delivery,,
Our favourite bouquets and 50% extra roses,interflora,,,50%,,,,,,
10% OFF* this Autumn,interflora,,Autumn,10%,,,,,,
[CUSTOMER_NAME] Happy Birthday from all at Interflora,interflora,Birthday,,,,,,,[CUSTOMER_NAME],
"Great gift ideas, suitable for any budget",interflora,,,,,,,,,
Introducing our New upgrade service...,interflora,,,,,,,,,
10% OFF Summer gifts + 50% extra free Roses,interflora,,Summer,10%,,,,,,
6 great Interflora offers,interflora,,,,,,,,,
Win a stunning Interflora Signature gift,interflora,,,,,,,,,
"Whatever the occasion this month, 10% OFF",interflora,,,10%,,,,,,
Personally selected gifts from only £19.99,interflora,,,,£1999,,,,,
Surprising Father's Day gifts from Interflora,interflora,Father's Day,,,,,,,,
"Hurry, your 10% discount is about to expire",interflora,,,10%,,,,,,
Use your 10% OFF voucher for the month ahead,interflora,,,10%,,,,,,
A burst of Summer freshness from just £19.99,interflora,,Summer,,£1999,,,,,
Experience the RHS Chelsea Flower Show with Interflora - 10 pairs of tickets up for grabs,interflora,,,,,,,,,
We're granting *YOU* 25% extra flowers.,interflora,,,25%,,,,,,
Excellent! Think Interflora for summer.,interflora,,Summer,,,,,,,
🌻Free Upgrade – 25% Extra Free🌻,interflora,,,25%,,,,,,emoji
Hip hip hooray – 12% off birthday blooms,interflora,Birthday,,12%,,,,,,
Standout blooms this August,interflora,,,,,,,,,
"F R E E delivery. Yeah, you heard that right - show someone they're SUPER special with 25% EXTRA flowers! 🌷",interflora,,,25%,,,,,,emoji
😊 Not to be missed - say a BIG well done with Interflora! 😊,interflora,,,,,,,,,emoji
Plan ahead for October with 20% off,interflora,,,20%,,,,,,
Send them blooms this birthday,interflora,Birthday,,,,,,,,
"12% off their birthday blooms, [CUSTOMER_NAME]",interflora,Birthday,,12%,,,,,[CUSTOMER_NAME],
12% off ends midnight – order for the month ahead,interflora,,,12%,,,,,,
Bring the celebrations indoors with 50% extra FREE flowers!,interflora,,,50%,,,,,,
Upgrade your bouquet with 25% extra free,interflora,,,25%,,,,,,
Last Chance for autumn blooms…,interflora,,Autumn,,,,,,,
Send more love with 25% extra free,interflora,,,25%,,,,,,
Free Christmas Delivery? YES PLEASE!,interflora,Christmas,,,,,,,,
Day 8: Add a little magic with £10 off this Christmas bouquet ✨,interflora,Christmas,,,£10,,,,,emoji
Day 9: WIN your money back this Christmas!,interflora,Christmas,,,,,,,,
Day 10: WOW! 50% extra FREE roses inside,interflora,,,50%,,,,,,
Perfect gifts from £30,interflora,,,,£30,,,,,
Special offers just for you,interflora,,,,,,,,,
There’s still time to shop our free delivery flowers!,interflora,,,,,,,free delivery,,
We’re still taking Christmas orders for a limited time!,interflora,Christmas,,,,,,,,
Two Words: FREE Prosecco 🍾,interflora,,,,,,,,,emoji
Time’s almost up! FREE chocolates until midnight,interflora,,,,,,,,,
Enjoy 15% off hand-crafted blooms this Mother’s Day,interflora,,,15%,,,,,,
"[CUSTOMER_NAME], don’t forget your 15% off",interflora,,,15%,,,,,[CUSTOMER_NAME],
Fresh blooms with 15% off,interflora,,,15%,,,,,,
"Tick tock, 15% off ends at midnight!",interflora,,,15%,,,,,,
Free chocolates this Mother’s Day,interflora,,,,,,,,,
The countdown is on…order before 5pm for Mother’s Day delivery ⏰,interflora,,,,,,,,,emoji
New in: Easter blooms with 15% off,interflora,Easter,,15%,,,,,,
Blooms she can enjoy all weekend... special offers inside,interflora,,,,,,,,,
Send blooms for new beginnings with 15% off,interflora,,,15%,,,,,,
Hop to it… shop our Easter blooms before they’re gone!,interflora,Easter,,,,,,,,
Free chocolates this Easter!,interflora,Easter,,,,,,,,
"[CUSTOMER_NAME], 15% off ends tonight!",interflora,,,15%,,,,,[CUSTOMER_NAME],
Spoil them with 25% EXTRA flowers!,interflora,,,25%,,,,,,
Invitation to Slug in Bloom launch party,interflora,,,,,,,,,
15% off starts now – beautiful blooms for less!,interflora,,,15%,,,,,,
Send blooms this May,interflora,,,,,,,,,
15% off romantic blooms,interflora,,,15%,,,,,,
"[CUSTOMER_NAME], there’s 15% off all bouquets inside 💐",interflora,,,15%,,,,,[CUSTOMER_NAME],emoji
Great Mums deserve great blooms!,interflora,,,,,,,,,
Our summer favourites,interflora,,Summer,,,,,,,
Our pick of the month,interflora,,,,,,,,,
Fill their day with sunshine… and blooms!,interflora,,,,,,,,,
Peonies… the must-have flower of the moment!,interflora,,,,,,,,,
WIN beautiful birthday blooms,interflora,Birthday,,,,,,,,
Your 10% off is expiring soon!,interflora,,,10%,,,,,,
Final day for 12% off,interflora,,,12%,,,,,,
This way for extra free blooms,interflora,,,,,,,,,
Blooms to brighten their day,interflora,,,,,,,,,
Discover our bouquet of the month 💐,interflora,,,,,,,,,emoji
Birthday-worthy bouquets,interflora,Birthday,,,,,,,,
Reveal your surprise offer!,interflora,,,,,,,,,
Final call for summer blooms!,interflora,,Summer,,,,,,,
25% bigger bouquets,interflora,,,25%,,,,,,
Don’t miss your surprise offer,interflora,,,,,,,,,
12% off for September,interflora,,,12%,,,,,,
Introducing autumn blooms,interflora,,Autumn,,,,,,,
Our bouquet of the month 💐,interflora,,,,,,,,,emoji
25% extra free flowers,interflora,,,25%,,,,,,
Give the gift of wellness,interflora,,,,,,,,,
Here's up to 15% off,interflora,,,15%,,up to,,,,
Up to 15% off - it's your last chance! ⏰,interflora,,,15%,,up to,,,,emoji
This way for 25% extra free blooms!,interflora,,,25%,,,,,,
Autumn trends coming your way…,interflora,,Autumn,,,,,,,
Romantic anniversary bouquets,interflora,,,,,,,,,
Here's 12% off...,interflora,,,12%,,,,,,
12% off birthday blooms to delight,interflora,Birthday,,12%,,,,,,
Reminder: You have 12% off,interflora,,,12%,,,,,,
25% extra free roses inside...,interflora,,,25%,,,,,,
🔔 Can we hear jingle bells?... 🔔,interflora,,,,,,,,,emoji
Discounts inside: Save up to 15%,interflora,,,15%,,up to,,,,
Up to 15% off blooms!,interflora,,,15%,,up to,,,,
Ending Soon! Up to 15% off ⏰,interflora,,,15%,,up to,,,,emoji
👉 This way for free chocolates!,interflora,,,,,,,,,emoji
Celebrate with 25% extra free roses 🌹,interflora,,,25%,,,,,,emoji
Exclusive treat: 12% off inside,interflora,,,12%,,,,,,
Send a treat this Halloween 👻,interflora,,,,,,,,,emoji
Send a treat this Halloween 👻,interflora,,,,,,,,,emoji
Exclusive treat: 12% off inside,interflora,,,12%,,,,,,
Here's 12% off the perfect bouquet!,interflora,,,12%,,,,,,
Here's 12% off the perfect bouquet!,interflora,,,12%,,,,,,
12% off in time for November!,interflora,,,12%,,,,,,
12% off smile-worthy blooms,interflora,,,12%,,,,,,
Bonfire-inspired blooms,interflora,,,,,,,,,
The ultimate birthday gift 🎁,interflora,Birthday,,,,,,,,emoji
10% off your festive décor 🎄,interflora,,,10%,,,,,,emoji
£5 off this weekend only! ,interflora,,,,£5,,,,,
Last chance for £5 off! 🕒 ,interflora,,,,£5,,,,,emoji
Final call for autumn! 🍂,interflora,,Autumn,,,,,,,emoji
Discover the magic of winter ✨,interflora,,Winter,,,,,,,emoji
Find the perfect gift 🎁,interflora,,,,,,,,,emoji
Fancy 15% off for Christmas?,interflora,Christmas,,15%,,,,,,
Reminder: You have 15% off!,interflora,,,15%,,,,,,
15% off ends soon! 🕘,interflora,,,15%,,,,,,emoji
Here's a festive £15 off!,interflora,,,,£15,,,,,
WIN festive fizz!,interflora,,,,,,,,,
"[CUSTOMER_NAME], 10% off wreaths!",interflora,,,10%,,,,,[CUSTOMER_NAME],
WIN £200 of home décor!,interflora,,,,£200,,,,,
£10 off this winter favourite ,interflora,,Winter,,£10,,,,,
15% off Christmas blooms!,interflora,Christmas,,15%,,,,,,
Reminder: you have 15% off!,interflora,,,15%,,,,,,
"[CUSTOMER_NAME], your 15% off is waiting!",interflora,,,15%,,,,,[CUSTOMER_NAME],
15% off ends midnight tonight,interflora,,,15%,,,,,,
"[CUSTOMER_NAME], your last chance for 15% off!",interflora,,,15%,,,,,[CUSTOMER_NAME],
Our guide to gifting this Christmas,interflora,Christmas,,,,,,,,
Presents for all pockets!,interflora,,,,,,,,,
Payday Treat! Pick your offer...,interflora,,,,,,,,,
Calling all last-minute-gifters!,interflora,,,,,,,,,
"[CUSTOMER_NAME], don't worry... we're still delivering!",interflora,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], it's not too late!",interflora,,,,,,,,[CUSTOMER_NAME],
Thank the festive host with flowers!,interflora,,,,,,,,,
Wishing you a Happy New Year!,interflora,,,,,,,,,
Meet our Bouquet of the Month,interflora,,,,,,,,,
"[CUSTOMER_NAME], free roses just for you...",interflora,,,,,,,,[CUSTOMER_NAME],
Discover our newest collection!,interflora,,,,,,,,,
2020 colour trend alert!,interflora,,,,,,,,,
Pretty plants with free delivery!,interflora,,,,,,,free delivery,,
The prettiest day of the year!,interflora,,,,,,,,,
Swing into spring!,interflora,,Spring,,,,,,,
Find your new favourite flower!,interflora,,,,,,,,,
Start saving |15% off inside!,interflora,,,15%,,,,,,
15% off with your exclusive code!,interflora,,,15%,,,,,,
WIN! Luxury rose and Champagne gift set,interflora,,,,,,,,,
£5 off our signature Valentine's bouquet!,interflora,Valentine's,,,£5,,,,,
Here are our romantic bestsellers!,interflora,,,,,,,,,
Extra free blooms this Valentine's Day...,interflora,Valentine's,,,,,,,,
You can still order!,interflora,,,,,,,,,
Make it the best birthday EVER,interflora,Birthday,,,,,,,,
Our beautiful Mother's Day collection,interflora,Mother's Day,,,,,,,,
Your early bird discount has arrived!,interflora,,,,,,,,,
15% off for Mother's Day!,interflora,Mother's Day,,15%,,,,,,
"[CUSTOMER_NAME], 15% off ends midnight!",interflora,,,15%,,,,,[CUSTOMER_NAME],
The BEST Mother's Day blooms…,interflora,Mother's Day,,,,,,,,
Discover Mother's Day blooms by price,interflora,Mother's Day,,,,,,,,
Flash sale - 12% off!,interflora,,,12%,,,sale,,,
Offer extended: 12% off ends tonight! ,interflora,,,12%,,,,,,
A message to our community,interflora,,,,,,,,,
£5 off - Friday delivery exclusive!,interflora,,,,£5,,,,,
You can still make Mum's day,interflora,,,,,,,,,
An update for our community,interflora,,,,,,,,,
"Ways to stay apart, together this Easter 🐰",interflora,Easter,,,,,,,,emoji
Need a bit of headspace?,interflora,,,,,,,,,
"[CUSTOMER_NAME], practice self-love with #Mindfloral",interflora,,,,,,,,[CUSTOMER_NAME],
Our most swoon-worthy stems 💐,interflora,,,,,,,,,emoji
"[CUSTOMER_NAME], keep love alive...",interflora,,,,,,,,[CUSTOMER_NAME],
Live like it's spring with #Mindfloral,interflora,,Spring,,,,,,,
"[CUSTOMER_NAME], throwing a virtual dinner party?",interflora,,,,,,,,[CUSTOMER_NAME],
Celebrate Mum this International Mother's Day ,interflora,Mother's Day,,,,,,,,
A real life tale: Virtual Ways to Celebrate 🏡,interflora,,,,,,,,,emoji
"[CUSTOMER_NAME], got a birthday on your list? 🎂",interflora,Birthday,,,,,,,[CUSTOMER_NAME],emoji
You'll love this inventive way of gifting…,interflora,,,,,,,,,
The ultimate card message inspiration 💌,interflora,,,,,,,,,emoji
How to make lockdown lovelier,interflora,,,,,,,,,
A truly unique gift? This way!,interflora,,,,,,,,,
Celebrate your bestie 💐,interflora,,,,,,,,,emoji
"[CUSTOMER_NAME], your chance to WIN!",interflora,,,,,,,,[CUSTOMER_NAME],
Cocktails in the sun isn't a distant dream!,interflora,,,,,,,,,
A Father’s Day with a difference,interflora,,,,,,,,,
Thank you for supporting local florists,interflora,,,,,,,,,
DIY floral ice cubes🌸,interflora,,,,,,,,,emoji
Did someone say peony season?,interflora,,,,,,,,,
How we deliver happiness...,interflora,,,,,,,,,
"[CUSTOMER_NAME], a gift for your sweetheart?",interflora,,,,,,,,[CUSTOMER_NAME],
Add style to your outdoor space...,interflora,,,,,,,,,
Sunshine is guaranteed with these plants,interflora,,,,,,,,,
Kind-to-the-planet gifts,interflora,,,,,,,,,
Cheers to that...,interflora,,,,,,,,,
"You don't need a plane ticket, [CUSTOMER_NAME]",interflora,,,,,,,,[CUSTOMER_NAME],
Is your BFF one of a kind?,interflora,,,,,,,,,
It doesn't get more delicious than this!,interflora,,,,,,,,,
WIN a gift for the 'nearly-married' couple 💍,interflora,,,,,,,,,emoji
"How good is your birthday, [CUSTOMER_NAME]?",interflora,Birthday,,,,,,,[CUSTOMER_NAME],
Your one-of-a-kind gift is waiting 💐,interflora,,,,,,,,,emoji
Tell them how proud you are!,interflora,,,,,,,,,
Make 2020 your best year EVER! ,interflora,,,,,,,,,
They'll LOVE this!,interflora,,,,,,,,,
WIN a power hour with The Joyful Coach,interflora,,,,,,,,,
For best friends & furry friends,interflora,,,,,,,,,
Hello September!,interflora,,,,,,,,,
What is the best 'thank you' gift?,interflora,,,,,,,,,
Are you #Mindfloral?,interflora,,,,,,,,,
We’ve made some changes…,interflora,,,,,,,,,
Hooray! They're here!,interflora,,,,,,,,,
Did someone say Autumn blooms?,interflora,,Autumn,,,,,,,
"Friends are special, their birthday should be too",interflora,Birthday,,,,,,,,
Ready for Grandparents’ Day?,interflora,,,,,,,,,
WIN 1 of 5 book and bouquet bundles 💐,interflora,,,,,,,,,emoji
Through good times and bad,interflora,,,,,,,,,
Revealed: the recipe for long-lasting friendship,interflora,,,,,,,,,
Support your squad,interflora,,,,,,,,,
What type of friend are you?,interflora,,,,,,,,,
Surprise! Make it a birthday to remember💐,interflora,Birthday,,,,,,,,emoji
Lockdown update – our amazing florists are still delivering 💐💕,interflora,,,,,,,,,emoji
"[CUSTOMER_NAME], our Christmas collection is here ",interflora,Christmas,,,,,,,[CUSTOMER_NAME],
Spread a little kindness,interflora,,,,,,,,,
"[CUSTOMER_NAME], be a birthday hero!",interflora,Birthday,,,,,,,[CUSTOMER_NAME],
It's time to deck the halls! 🎀,interflora,,,,,,,,,emoji
Last chance for autumn blooms 🍂,interflora,,Autumn,,,,,,,emoji
Our ALL-NEW winter collection,interflora,,Winter,,,,,,,
Explore our Christmas collection,interflora,Christmas,,,,,,,,
Find the perfect Christmas gift,interflora,Christmas,,,,,,,,
Delivered in time for Christmas,interflora,Christmas,,,,,,,,
"[CUSTOMER_NAME], there's still time to order for Christmas",interflora,Christmas,,,,,,,[CUSTOMER_NAME],
Transform your Christmas table,interflora,Christmas,,,,,,,,
Don’t forget those winter birthdays,interflora,Birthday,Winter,,,,,,,
What message did you send most in 2020?,interflora,,,,,,,,,
A huge thank you for supporting our florists this year,interflora,,,,,,,,,
You’re stronger than you think,interflora,,,,,,,,,
Mood-boosting blooms,interflora,,,,,,,,,
Take a look at our Valentine’s Day collection 💌,interflora,,,,,,,,,emoji
Our brand new collection for you,interflora,,,,,,,,,
Gorgeous blooms for Valentine’s Day 💐♥️,interflora,,,,,,,,,emoji
Don't miss out on gorgeous Valentine's Day flowers,interflora,Valentine's,,,,,,,,
Last chance for Valentine's Day blooms,interflora,Valentine's,,,,,,,,
Mum's the word!,interflora,,,,,,,,,
Blooms made with love,interflora,,,,,,,,,
Last call for florist flowers 💐,interflora,,,,,,,,,emoji
We're teaming up with Vicky Pattison,interflora,,,,,,,,,
Spring birthday coming up?,interflora,Birthday,Spring,,,,,,,
Finding inspiration one year on...,interflora,,,,,,,,,
Blooms to beat loneliness,interflora,,,,,,,,,
Gorgeous Easter blooms 🐰 💐,interflora,Easter,,,,,,,,emoji
Need Easter décor inspiration?,interflora,Easter,,,,,,,,
Blooms sent with love ❤️,interflora,,,,,,,,,emoji
Thinking of them? Then show them 💌💐,interflora,,,,,,,,,emoji
This way for spring birthday blooms,interflora,Birthday,Spring,,,,,,,
We’d appreciate your help…,interflora,,,,,,,,,
Post bank holiday blues?,interflora,Bank Holiday,,,,,,,,
Yes please! Enjoy free delivery on plants...,interflora,,,,,,,free delivery,,
The summer collection is here! ☀️☀️☀️,interflora,,Summer,,,,,,,emoji
Reconnect with Nature...,interflora,,,,,,,,,
Discover our secret... 💐,interflora,,,,,,,,,emoji
"Step aside, Paul Hollywood...",interflora,,,,,,,,,
"[CUSTOMER_NAME], you're the best at birthdays!",interflora,Birthday,,,,,,,[CUSTOMER_NAME],
Bank holiday gift ideas ☀️,interflora,Bank Holiday,,,,,,,,emoji
Hooray for feel good flowers ☺️💚,interflora,,,,,,,,,emoji
WIN: A 12-month flower subscription for you and two friends 💐,interflora,,,,,,,,,emoji
They are one-of-a-kind 💐,interflora,,,,,,,,,emoji
Need flowers today? We've got you!,interflora,,,,,,,,,
Dad deserves celebrating 🕺 ,interflora,,,,,,,,,emoji
Making flowers for him normal,interflora,,,,,,,,,
"[CUSTOMER_NAME], it's your summer anniversary reminder",interflora,,Summer,,,,,,[CUSTOMER_NAME],
It's here! ☀️💐,interflora,,,,,,,,,emoji
"Woah, we're half-way there 🎵",interflora,,,,,,,,,emoji
The perfect pair: blooms and chocs,interflora,,,,,,,,,
Time to buy birthday blooms again? 🎂 💐,interflora,Birthday,,,,,,,,emoji
A gift for someone who has everything ✔️,interflora,,,,,,,,,emoji
What’s trending? Plus free delivery 🌱,interflora,,,,,,,free delivery,,emoji
Your favourite flowers,interflora,,,,,,,,,
Our latest COVID-19 update,interflora,,,,,,,,,
"Friends, gather round...",interflora,,,,,,,,,
All set for August?,interflora,,,,,,,,,
No lilies? No problem.,interflora,,,,,,,,,
The deeper meaning behind the Olympic bouquets ,interflora,,,,,,,,,
Win a stay in the world’s first sunflower hotel 🌻🌻🌻,interflora,,,,,,,,,emoji
"You didn't forget their August birthday, did you?!",interflora,Birthday,,,,,,,,
Nothing says 'thanks' like fresh flowers,interflora,,,,,,,,,
Exactly when you need us,interflora,,,,,,,,,
Fabulous florals from £35,interflora,,,,£35,,,,,
Something extra for the long weekend?,interflora,,,,,,,,,
Surprise them just because,interflora,,,,,,,,,
Ready for a new start?,interflora,,,,,,,,,
Time to thank your support crew,interflora,,,,,,,,,
It's birthday time!,interflora,Birthday,,,,,,,,
Take a moment for you,interflora,,,,,,,,,
Your last chance for summer blooms,interflora,,Summer,,,,,,,
Birthday flowers exactly when you need them 💐 📅,interflora,Birthday,,,,,,,,emoji
Loved ones overseas?,interflora,,,,,,,,,
Grandparents deserve the best,interflora,,,,,,,,,
What's coming up? 💐,interflora,,,,,,,,,emoji
Get well blooms to lift their spirits,interflora,,,,,,,,,
"[CUSTOMER_NAME], we just wanted to say...",interflora,,,,,,,,[CUSTOMER_NAME],
No ordinary birthday blooms,interflora,Birthday,,,,,,,,
Chocs galore!,interflora,,,,,,,,,
A reminder to review www.interflora.co.uk,interflora,,,,,,,,,
"Birthday again? We can help with that, [CUSTOMER_NAME]",interflora,Birthday,,,,,,,[CUSTOMER_NAME],
A little reminder 🎈,interflora,,,,,,,,,emoji
Shhhh... our little secret,interflora,,,,,,,,,
